NOMEFILE,ANNO,TIPO,liste_sindaco_preferenze_referendum_presidente,rounds,DATA,CITTA,id_elections
regionali_2018_presidente.csv,2018,regionali,presidente,single-round,2018-03-04,ROMA,regionali_2018_presidente.csv2018_regionali_single-round_ROMA
liste_regionali2018.csv,2018,regionali,presidente,single-round,2018-03-04,MILANO,liste_regionali2018.csv2018_regionali_single-round_MILANO
regionali_2023_presidente.csv,2023,regionali,presidente,single-round,2023-02-12,ROMA,regionali_2023_presidente.csv2023_regionali_single-round_ROMA
regionali_2023_liste.csv,2023,regionali,liste,single-round,2023-02-12,ROMA,regionali_2023_liste.csv2023_regionali_single-round_ROMA
regionali_2023_presidente.csv,2023,regionali,presidente,single-round,2023-02-12,MILANO,regionali_2023_presidente.csv2023_regionali_single-round_MILANO
regionali_2023_liste.csv,2023,regionali,liste,single-round,2023-02-12,MILANO,regionali_2023_liste.csv2023_regionali_single-round_MILANO
regionali_2023_preferenze.csv,2023,regionali,preferenze,single-round,2023-02-12,ROMA,regionali_2023_preferenze.csv2023_regionali_single-round_ROMA
regionali_2023_preferenze.csv,2023,regionali,preferenze,single-round,2023-02-12,MILANO,regionali_2023_preferenze.csv2023_regionali_single-round_MILANO
europee_liste_2019.csv,2019,europee,liste,single-round,2019-05-26,BARI,europee_liste_2019.csv2019_europee_single-round_BARI
camera_liste_2022.csv,2022,camera,liste,single-round,2022-09-25,BARI,camera_liste_2022.csv2022_camera_single-round_BARI
ballottaggiosindaco21.csv,2021,comunali,sindaco,run-off,2021-10-17,TORINO,ballottaggiosindaco21.csv2021_comunali_run-off_TORINO
amministrative2021_sindaco.csv,2021,comunali,sindaco,first-round,2021-10-03,TORINO,amministrative2021_sindaco.csv2021_comunali_first-round_TORINO
amministrative2021_liste.csv,2021,comunali,liste,first-round,2021-10-03,TORINO,amministrative2021_liste.csv2021_comunali_first-round_TORINO
reg2019_consiglio_voti.csv,2019,regionali,presidente,first-round,2019-05-26,TORINO,reg2019_consiglio_voti.csv2019_regionali_first-round_TORINO
reg2014_consiglio_voti.csv,2014,regionali,liste,first-round,2014-05-25,TORINO,reg2014_consiglio_voti.csv2014_regionali_first-round_TORINO
pol2018_senato_collegi.csv,2018,senato,liste,single-round,2018-03-04,TORINO,pol2018_senato_collegi.csv2018_senato_single-round_TORINO
pol2018_camera_collegi.csv,2018,camera,liste,single-round,2018-03-04,TORINO,pol2018_camera_collegi.csv2018_camera_single-round_TORINO
pol2013_liste_camera.csv,2013,camera,liste,single-round,2013-02-24,TORINO,pol2013_liste_camera.csv2013_camera_single-round_TORINO
pol2013_liste_senato.csv,2013,senato,liste,single-round,2013-02-24,TORINO,pol2013_liste_senato.csv2013_senato_single-round_TORINO
pol2008_camera_voti.csv,2008,camera,liste,single-round,2008-04-13,TORINO,pol2008_camera_voti.csv2008_camera_single-round_TORINO
pol2008_senato_voti.csv,2008,senato,liste,single-round,2008-04-13,TORINO,pol2008_senato_voti.csv2008_senato_single-round_TORINO
pol2006_senato_citta.csv,2006,senato,liste,single-round,2006-04-09,TORINO,pol2006_senato_citta.csv2006_senato_single-round_TORINO
pol2006_camera_citta.csv,2006,camera,liste,single-round,2006-04-09,TORINO,pol2006_camera_citta.csv2006_camera_single-round_TORINO
eur2019_voti_lista.csv,2019,europee,liste,single-round,2019-05-26,TORINO,eur2019_voti_lista.csv2019_europee_single-round_TORINO
eur2014_pref.csv,2014,europee,liste,single-round,2014-05-25,TORINO,eur2014_pref.csv2014_europee_single-round_TORINO
eur2009_parlamento.csv,2009,europee,liste,single-round,2009-06-06,TORINO,eur2009_parlamento.csv2009_europee_single-round_TORINO
prov2009_pres_elezione.csv,2009,provinciali,presidente,single-round,2009-06-06,TORINO,prov2009_pres_elezione.csv2009_provinciali_single-round_TORINO
