SEZIONE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P64,P65,P66,P128,P129,P130,P131,P132,P135,P136,P137,P138,P139,P140,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,A2,A3,A5,A6,A7,A44,A46,A47,A48,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,education,male_share,marital_status,employment,home_ownership,foreigners,foreigners_african,citizenship,student,children,age_over75,under_35,male_not_educated,commuter,family_rent,rent_ownership_ratio,unipersonal_family,large_family,degraded_building,new_building
1.0,1303.9999899864197,691.9999952912331,611.9999946951866,662.9999951720238,500.99999594688416,28.99999988079071,79.99999910593033,30.99999988079071,369.9999974966049,274.99999809265137,12.999999940395355,21.999999821186066,11.999999940395355,82.99999940395355,83.99999934434891,53.99999976158142,63.9999994635582,73.99999952316284,94.99999922513962,118.99999928474426,140.99999886751175,123.9999994635582,99.9999994635582,74.99999952316284,54.99999934434891,55.99999940395355,38.99999988079071,52.99999916553497,87.99999886751175,47.99999976158142,50.99999952316284,32.99999988079071,34.99999964237213,40.99999988079071,53.99999958276749,82.99999952316284,66.99999952316284,62.99999976158142,56.999999821186066,39.999999821186066,27.99999976158142,24.999999582767487,13.999999940395355,20.99999976158142,31.999999523162842,1206.9999907016754,214.99999910593033,281.99999779462814,320.9999969601631,207.99999821186066,145.9999988079071,34.999999821186066,636.9999955892563,100.99999982118607,159.9999988079071,182.99999845027924,94.99999916553497,80.99999940395355,16.999999940395355,614.9999961256981,494.99999660253525,56.99999964237213,377.9999982714653,300.9999985098839,36.999999821186066,467.9999953508377,181.9999978542328,136.99999886751175,73.99999940395355,29.999999821186066,113.99999916553497,75.99999934434891,569.9999960660934,13.0,142.99999791383743,67.9999988079071,416.99999594688416,258.9999979734421,185.99999779462814,219.999998152256,11.0,112.99999898672104,138.99999898672104,7.0,37.99999916553497,101.99999928474426,1.0,275.9999974966049,0.0,0.0,416.99999594688416,584.9999960660934,275.99999886751175,1.9999999403953552,271.99999898672104,3.9999998807907104,55579.999604701996,280.999998152256,255.99999809265137,62.99999976158142,599.9999960064888,1272.999990284443,291.99999874830246,116.9999988079071,69.99999934434891,79.9999994635582,30.99999976158142,9.99999988079071,61.99999922513962,188.9999988079071,174.9999988079071,139.99999910593033,34.999999701976776,119.99999958276749,19.999999523162842,0.0,77.99999994039536,59.99999916553497,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.999999821186066,33.999999821186066,90.9999994635582,16.0,13.999999821186066,33.99999988079071,35.99999964237213,32.99999976158142,7.0,898.9999943971634,16.0,37.99999976158142,29.999999701976776,55.99999964237213,0.16487730119397426,0.5306748470898683,0.02377300622610707,0.8048780483266273,1.0976562509604264,0.3197852754210734,0.07822085894786435,0.3197852754210734,0.0567484662363565,0.6816666671307551,0.06748466222643776,0.09125766886392658,0.2131901838578307,0.009969325229929937,0.46833333337091737,1.0976562509604264,0.48666666781968543,0.06833333319210344,0.6142857135254509,0.0
2.0,532.9999922513962,236.99999678134918,295.999995470047,227.9999965429306,230.99999713897705,15.999999701976776,43.99999922513962,13.999999642372131,103.99999850988388,115.99999856948853,5.999999940395355,7.9999998807907104,2.9999998807907104,25.999999463558197,23.999999701976776,17.999999821186066,24.999999821186066,30.99999976158142,24.99999964237213,24.999999403953552,52.99999922513962,40.99999922513962,35.99999940395355,40.99999964237213,38.99999916553497,35.99999964237213,31.999999463558197,31.99999964237213,48.99999922513962,8.999999821186066,10.99999988079071,10.99999988079071,13.0,13.999999940395355,11.99999988079071,10.999999701976776,23.999999701976776,18.99999964237213,14.999999761581421,18.99999988079071,19.999999463558197,17.999999821186066,8.999999761581421,16.999999940395355,14.999999701976776,501.9999928474426,99.99999916553497,161.9999977350235,124.99999803304672,84.9999982714653,27.99999964237213,2.0,226.99999696016312,43.99999976158142,74.99999886751175,65.99999910593033,27.999999344348907,11.99999988079071,2.0,240.99999648332596,180.99999725818634,31.999999701976776,129.99999821186066,102.99999845027924,16.999999821186066,223.99999678134918,75.99999898672104,71.99999868869781,37.99999988079071,20.0,20.999999523162842,12.999999642372131,231.99999713897705,10.999999761581421,92.99999868869781,39.99999940395355,4.999999940395355,0.0,0.0,4.0,0.9999999403953552,0.0,0.0,0.0,3.0,0.0,1.0,0.9999999403953552,0.0,0.0,4.999999940395355,220.9999964237213,24.999999344348907,1.9999999403953552,23.999999344348907,1.0,20949.999714434147,47.99999928474426,161.99999737739563,13.999999701976776,223.99999636411667,532.9999922513962,73.99999856948853,60.99999886751175,39.99999964237213,31.999999403953552,13.99999988079071,3.0,19.0,14.999999761581421,14.999999761581421,12.999999761581421,2.0,0.9999999403953552,11.999999821186066,0.0,0.0,0.0,11.999999761581421,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.999999761581421,0.0,0.0,0.0,4.0,3.9999999403953552,4.999999821186066,247.99999570846558,1.0,10.999999761581421,1.0,0.0,0.18761726194991896,0.4446529084930364,0.026266416221201096,0.7510373439806634,0.29629629667785323,0.009380863063947366,0.0,0.009380863063947366,0.07129455991224017,0.6026785697690591,0.09193245766883267,0.04690431476059382,0.17636022479704455,0.02063789853939272,0.21428571457081302,0.29629629667785323,0.33035714183316317,0.07589285784253699,0.07692307833383777,0.0
3.0,1221.9999918341637,591.9999955892563,629.9999962449074,532.9999965429306,547.9999962449074,24.99999976158142,93.99999952316284,21.99999976158142,275.99999791383743,274.99999809265137,7.999999821186066,22.999999940395355,9.999999821186066,51.999999701976776,68.99999970197678,72.99999952316284,73.99999928474426,73.99999964237213,59.999999701976776,90.99999940395355,95.9999994635582,95.99999928474426,87.99999952316284,88.99999922513962,69.99999928474426,85.99999934434891,67.99999982118607,41.999999701976776,93.99999922513962,28.999999821186066,30.999999701976776,33.999999701976776,45.99999952316284,38.99999976158142,28.999999821186066,43.999999940395355,47.99999964237213,49.99999952316284,38.999999821186066,42.99999964237213,35.99999958276749,30.999999701976776,33.99999988079071,24.999999821186066,33.999999701976776,1156.999992132187,134.9999993443489,326.9999986886978,365.99999648332596,207.9999983906746,106.99999928474426,13.999999940395355,555.9999957680702,57.99999976158142,161.99999922513962,196.99999797344208,85.99999928474426,46.99999958276749,5.999999940395355,488.99999618530273,363.99999701976776,64.99999952316284,281.9999977350235,221.9999982714653,30.999999701976776,538.9999967217445,215.99999862909317,168.99999910593033,83.99999916553497,48.9999994635582,73.99999970197678,50.999999940395355,530.9999959468842,11.999999821186066,211.99999874830246,105.99999922513962,37.99999803304672,19.99999898672104,12.999999284744263,23.999998807907104,0.9999999403953552,7.999999582767487,10.999999463558197,0.9999999403953552,1.0,26.99999862909317,0.0,9.999999403953552,0.0,0.0,37.99999803304672,443.99999660253525,111.99999886751175,0.9999999403953552,97.99999970197678,13.999999165534973,42093.999633312225,139.99999779462814,264.9999989271164,42.999999821186066,447.9999965429306,1209.9999918341637,101.99999850988388,110.99999952316284,102.9999994635582,90.99999928474426,32.999999821186066,7.999999940395355,47.99999964237213,92.99999982118607,88.99999982118607,78.99999982118607,10.0,2.0,76.99999982118607,0.0,1.0,25.999999821186066,5.0,9.0,13.0,14.0,7.0,4.0,0.0,3.0,30.0,17.0,28.999999821186066,9.0,11.0,20.0,25.0,8.0,5.999999821186066,567.9999947547913,10.0,38.99999988079071,29.999999940395355,0.0,0.11047463195291872,0.4844517181221029,0.01800327324762128,0.7443762778309568,0.528301880609187,0.031096561609636787,0.022094925376036592,0.031096561609636787,0.06873977064390564,0.47544642784977237,0.07692307680301218,0.07446808511624202,0.2315875606786354,0.009819967186067357,0.3124999974887552,0.528301880609187,0.2276785698593404,0.09151785731688618,0.3797468355480934,0.13924050664428028
4.0,2748.0,1344.0,1404.0,1214.0,1337.0,55.0,116.0,26.0,626.0,672.0,19.0,19.0,8.0,174.0,171.0,157.0,159.0,202.0,169.0,219.0,215.0,202.0,216.0,182.0,181.0,196.0,108.0,95.0,102.0,86.0,85.0,74.0,82.0,106.0,94.0,104.0,101.0,94.0,109.0,82.0,96.0,92.0,65.0,43.0,31.0,2535.0,182.0,847.0,828.0,458.0,194.0,26.0,1235.0,78.0,425.0,433.0,209.0,79.0,11.0,1155.0,844.0,163.0,702.0,544.0,86.0,1091.0,397.0,416.0,188.0,92.0,177.0,119.0,1245.0,47.0,310.0,172.0,14.0,4.0,7.0,6.0,1.0,2.0,1.0,1.0,9.0,1.0,4.0,0.0,0.0,0.0,14.0,909.0,99.0,3.0,99.0,0.0,87647.0,206.0,606.0,103.0,915.0,2741.0,132.0,212.0,216.0,266.0,66.0,23.0,143.0,248.0,247.0,230.0,17.0,23.0,179.0,28.0,8.0,14.0,4.0,27.0,82.0,60.0,21.0,12.0,2.0,48.0,69.0,70.0,43.0,91.0,34.0,41.0,34.0,18.0,12.0,1025.0,26.0,97.0,83.0,24.0,0.06622998544395925,0.4890829694323144,0.009461426491994178,0.7307359307359307,0.33993399339933994,0.005094614264919942,0.000363901018922853,0.005094614264919942,0.06841339155749636,0.37595628415300547,0.03711790393013101,0.07969432314410481,0.2336244541484716,0.01710334788937409,0.22513661202185792,0.33993399339933994,0.14426229508196722,0.09726775956284153,0.4652173913043478,0.15217391304347827
5.0,1247.999982059002,634.9999913573265,612.9999907016754,614.9999902844429,496.99999356269836,28.99999976158142,72.9999988079071,33.99999964237213,335.9999952316284,264.9999964237213,10.0,10.99999988079071,12.999999821186066,69.9999989271164,64.9999994635582,57.99999916553497,59.99999922513962,65.99999886751175,103.99999803304672,107.99999868869781,135.99999725818634,105.99999886751175,104.99999898672104,75.99999874830246,69.99999874830246,60.99999922513962,37.99999940395355,35.99999958276749,88.99999886751175,34.9999994635582,22.999999821186066,30.999999523162842,32.99999976158142,33.99999964237213,60.999998927116394,58.99999928474426,74.99999862909317,57.99999934434891,55.99999952316284,43.99999922513962,34.99999934434891,27.999999701976776,20.99999964237213,16.99999976158142,24.99999976158142,1157.9999832510948,244.99999576807022,263.99999672174454,288.9999958872795,201.9999966621399,131.99999862909317,25.999999582767487,594.9999918937683,117.99999815225601,142.99999850988388,166.99999755620956,97.99999845027924,59.99999934434891,8.99999988079071,615.9999915361404,486.9999934434891,64.9999989271164,381.9999950528145,311.99999606609344,40.99999922513962,438.9999929666519,163.99999749660492,122.99999815225601,77.99999856948853,35.99999964237213,89.99999791383743,55.999998927116394,516.9999929070473,31.99999964237213,147.99999833106995,67.99999904632568,348.9999952316284,210.9999966621399,156.99999803304672,173.99999743700027,17.99999976158142,87.99999862909317,111.99999821186066,10.999999821186066,24.99999976158142,102.99999874830246,3.9999999403953552,216.99999678134918,0.0,0.0,348.9999952316284,566.9999916553497,395.99999564886093,1.0,390.9999957084656,4.999999940395355,54283.999185562134,269.9999955892563,267.9999965429306,42.99999940395355,580.9999915361404,1235.9999821186066,272.99999594688416,127.99999803304672,74.9999989271164,62.99999922513962,27.999999701976776,13.999999701976776,89.99999791383743,217.9999971985817,192.9999971985817,156.99999779462814,35.99999940395355,131.9999983906746,24.999999403953552,0.0,84.99999898672104,62.999998927116394,6.9999998807907104,1.0,0.0,0.0,0.0,0.0,1.0,2.0,19.99999964237213,50.99999928474426,83.99999886751175,14.0,18.999999701976776,41.99999934434891,39.99999928474426,26.999999582767487,14.99999988079071,1136.9999826550484,10.999999761581421,52.99999916553497,42.99999964237213,49.99999922513962,0.1963141019953054,0.508814102953493,0.027243589848677342,0.790584415803384,1.007462683104943,0.2796474360967809,0.08253205146555276,0.2796474360967809,0.06249999975224431,0.6901893284364826,0.07131410268185731,0.08653846173179823,0.21233974344236836,0.0256410257230751,0.46471600606290414,1.007462683104943,0.4698795179412709,0.07228915665369849,0.5923566890055957,0.006369426841063406
6.0,662.9999614953995,309.99998211860657,352.9999793767929,297.99998277425766,275.9999840259552,11.999999284744263,67.99999594688416,8.999999463558197,153.99999117851257,137.9999920129776,3.999999761581421,10.999999344348907,2.9999998211860657,41.999997675418854,31.999998211860657,43.99999761581421,45.99999725818634,46.99999725818634,34.99999797344208,45.999997437000275,36.99999797344208,43.99999737739563,51.99999690055847,43.99999737739563,34.99999791383743,30.999998152256012,31.999998092651367,29.999998211860657,65.99999606609344,23.99999862909317,15.999999105930328,23.999998807907104,22.99999862909317,23.999998569488525,16.99999898672104,22.99999874830246,19.999998927116394,17.999998927116394,23.999998569488525,18.99999886751175,19.999998807907104,13.999999165534973,13.999999165534973,7.999999523162842,21.999998688697815,614.9999641776085,9.999999463558197,83.99999499320984,233.99998623132706,167.9999902844429,73.99999588727951,44.999997317790985,283.9999836087227,3.9999998211860657,39.99999761581421,125.99999248981476,69.99999606609344,26.99999862909317,16.99999898672104,209.99998754262924,127.99999237060547,31.999998152256012,137.99999183416367,92.99999445676804,22.999998688697815,334.9999804496765,107.9999937415123,140.99999177455902,32.99999803304672,15.999999046325684,68.99999612569809,43.999997556209564,224.99998700618744,3.999999761581421,91.99999451637268,41.99999749660492,0.9999999403953552,0.9999999403953552,0.0,0.9999999403953552,0.0,0.0,0.9999999403953552,0.0,0.0,0.0,0.0,0.0,0.9999999403953552,0.0,0.9999999403953552,226.99998670816422,16.99999898672104,0.0,16.99999898672104,0.0,16083.999064862728,90.99999475479126,115.9999930858612,19.99999886751175,226.99998670816422,662.9999614953995,48.999997079372406,57.9999965429306,39.999997675418854,42.99999749660492,19.999998927116394,16.99999898672104,105.99999368190765,11.999999403953552,11.999999403953552,10.999999403953552,1.0,1.0,9.999999403953552,0.0,0.0,1.9999999403953552,8.999999463558197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9999998211860657,6.999999582767487,0.0,0.0,1.0,0.9999999403953552,0.9999999403953552,7.999999523162842,246.99998551607132,0.0,2.9999998807907104,7.999999523162842,0.0,0.015082956326276629,0.4675716442266455,0.013574660612737679,0.6095238093508074,0.7844827601621892,0.0015082956236375199,0.0,0.0015082956236375199,0.04977375558003816,0.47136563827144345,0.09954751116007632,0.06938159895703021,0.29562594259255964,0.0060331824945500795,0.4008810576354028,0.7844827601621892,0.2158590306102872,0.16299559506761285,0.727272723331924,0.0
7.0,403.0,202.0,201.0,182.0,194.0,11.0,13.0,3.0,96.0,98.0,6.0,1.0,1.0,24.0,18.0,23.0,32.0,42.0,37.0,30.0,28.0,26.0,39.0,31.0,29.0,13.0,10.0,9.0,12.0,11.0,9.0,13.0,17.0,20.0,13.0,17.0,17.0,15.0,19.0,10.0,17.0,10.0,4.0,5.0,5.0,378.0,45.0,128.0,125.0,53.0,22.0,5.0,190.0,21.0,63.0,69.0,24.0,11.0,2.0,184.0,134.0,19.0,115.0,90.0,12.0,154.0,54.0,65.0,32.0,17.0,30.0,23.0,178.0,3.0,27.0,12.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,127.0,48.0,1.0,47.0,1.0,15178.0,20.0,81.0,27.0,128.0,403.0,23.0,19.0,31.0,33.0,18.0,4.0,27.0,110.0,109.0,101.0,8.0,2.0,99.0,0.0,1.0,1.0,0.0,1.0,9.0,89.0,0.0,0.0,0.0,61.0,31.0,9.0,0.0,58.0,24.0,17.0,2.0,0.0,0.0,176.0,58.0,42.0,0.0,1.0,0.11166253101736973,0.5012406947890818,0.007444168734491315,0.7282608695652174,0.24691358024691357,0.007444168734491315,0.0,0.007444168734491315,0.0794044665012407,0.328125,0.02977667493796526,0.07444168734491315,0.23076923076923078,0.007444168734491315,0.15625,0.24691358024691357,0.1796875,0.171875,0.009900990099009901,0.0
8.0,1488.0,713.0,775.0,643.0,706.0,45.0,69.0,25.0,332.0,351.0,18.0,5.0,7.0,70.0,69.0,72.0,97.0,117.0,102.0,104.0,117.0,116.0,89.0,121.0,111.0,116.0,79.0,43.0,65.0,30.0,34.0,37.0,51.0,58.0,58.0,50.0,51.0,63.0,46.0,49.0,49.0,51.0,41.0,24.0,21.0,1406.0,155.0,467.0,426.0,242.0,89.0,27.0,678.0,75.0,227.0,224.0,102.0,39.0,11.0,633.0,477.0,80.0,392.0,308.0,42.0,644.0,220.0,249.0,122.0,55.0,88.0,57.0,614.0,36.0,185.0,101.0,9.0,2.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,9.0,511.0,30.0,1.0,30.0,0.0,58889.0,115.0,365.0,34.0,514.0,1488.0,80.0,131.0,129.0,130.0,33.0,11.0,74.0,114.0,113.0,93.0,20.0,15.0,78.0,0.0,6.0,2.0,1.0,21.0,27.0,33.0,3.0,0.0,0.0,29.0,53.0,6.0,5.0,51.0,26.0,10.0,1.0,0.0,5.0,543.0,48.0,34.0,7.0,4.0,0.10416666666666667,0.4791666666666667,0.016801075268817203,0.7535545023696683,0.3150684931506849,0.006048387096774193,0.0020161290322580645,0.006048387096774193,0.08198924731182795,0.41050583657587547,0.043682795698924734,0.06989247311827956,0.21908602150537634,0.024193548387096774,0.2237354085603113,0.3150684931506849,0.1556420233463035,0.08560311284046693,0.11827956989247312,0.03225806451612903
9.0,935.9999442100525,465.99997222423553,469.99997198581696,404.99997586011887,451.99997305870056,26.99999839067459,30.999998152256012,20.99999874830246,212.99998730421066,227.999986410141,12.999999225139618,5.999999642372131,5.999999642372131,29.999998211860657,53.99999678134918,36.99999779462814,70.99999576807022,71.99999570846558,65.99999606609344,62.99999624490738,71.99999570846558,67.99999594688416,80.99999517202377,82.99999505281448,72.99999564886093,69.99999582767487,35.99999785423279,28.9999982714653,30.999998152256012,14.999999105930328,28.9999982714653,23.999998569488525,32.99999803304672,37.9999977350235,32.99999803304672,33.99999797344208,34.99999791383743,29.999998211860657,37.9999977350235,40.999997556209564,40.999997556209564,26.99999839067459,19.999998807907104,13.999999165534973,13.999999165534973,896.9999465346336,187.99998879432678,346.99997931718826,209.9999874830246,88.99999469518661,57.9999965429306,4.999999701976776,444.9999734759331,84.9999949336052,186.99998885393143,105.99999368190765,37.9999977350235,26.99999839067459,1.9999998807907104,447.99997329711914,390.9999766945839,27.999998331069946,257.99998462200165,231.9999861717224,11.999999284744263,366.99997812509537,139.99999165534973,114.99999314546585,112.99999326467514,50.99999696016312,43.99999737739563,30.999998152256012,509.99996960163116,22.99999862909317,94.99999433755875,54.99999672174454,8.999999463558197,3.999999761581421,1.9999998807907104,5.999999642372131,0.9999999403953552,0.0,2.9999998211860657,0.9999999403953552,3.999999761581421,0.9999999403953552,0.0,3.999999761581421,0.0,0.0,8.999999463558197,324.99998062849045,94.99999433755875,0.9999999403953552,94.99999433755875,0.0,38164.99772518873,57.9999965429306,229.9999862909317,38.999997675418854,326.99998050928116,935.9999442100525,62.99999624490738,62.99999624490738,85.99999487400055,89.99999463558197,21.999998688697815,2.9999998211860657,18.99999886751175,215.99998712539673,210.99998742341995,202.9999879002571,7.999999523162842,17.999998927116394,184.99998897314072,0.0,7.999999523162842,5.999999642372131,17.999998927116394,20.99999874830246,36.99999779462814,102.99999386072159,5.999999642372131,3.999999761581421,0.0,4.999999701976776,67.99999594688416,122.99999266862869,6.999999582767487,74.99999552965164,77.99999535083771,39.99999761581421,9.999999403953552,0.0,0.0,422.99997478723526,114.99999314546585,75.999995470047,11.999999284744263,0.0,0.20085470085470086,0.49786324786324787,0.022435897435897436,0.8727678571428571,0.25217391304347825,0.009615384615384616,0.0010683760683760685,0.009615384615384616,0.12072649572649573,0.3853211009174312,0.03311965811965812,0.0673076923076923,0.15384615384615385,0.024572649572649572,0.17737003058103976,0.25217391304347825,0.1926605504587156,0.0764525993883792,0.059113300492610835,0.04926108374384237
10.0,1583.0,807.0,776.0,830.0,677.0,20.0,46.0,10.0,453.0,338.0,8.0,5.0,3.0,147.0,125.0,111.0,161.0,158.0,126.0,119.0,96.0,114.0,126.0,109.0,82.0,49.0,23.0,12.0,25.0,80.0,71.0,57.0,76.0,85.0,63.0,64.0,49.0,51.0,60.0,57.0,43.0,24.0,11.0,7.0,9.0,1403.0,17.0,117.0,603.0,427.0,176.0,63.0,708.0,10.0,55.0,304.0,216.0,92.0,31.0,617.0,276.0,97.0,405.0,196.0,74.0,583.0,194.0,321.0,67.0,28.0,134.0,112.0,551.0,14.0,61.0,34.0,62.0,29.0,25.0,31.0,6.0,12.0,15.0,2.0,1.0,18.0,0.0,43.0,0.0,0.0,62.0,440.0,24.0,1.0,24.0,0.0,34899.0,223.0,61.0,157.0,441.0,1583.0,43.0,66.0,117.0,100.0,68.0,47.0,317.0,36.0,33.0,28.0,5.0,18.0,10.0,0.0,0.0,2.0,11.0,8.0,4.0,2.0,0.0,1.0,0.0,12.0,11.0,3.0,2.0,9.0,7.0,5.0,4.0,0.0,3.0,422.0,0.0,5.0,21.0,2.0,0.010739102969046115,0.5097915350600126,0.006317119393556538,0.4473257698541329,3.6557377049180326,0.03916614024005054,0.011370814908401769,0.03916614024005054,0.04232469993682881,0.2471655328798186,0.015792798483891344,0.07517372078332281,0.32849020846494,0.008843967150979154,0.5056689342403629,3.6557377049180326,0.09750566893424037,0.26077097505668934,0.8214285714285714,0.03571428571428571
