SEZIONE,codice_quartiere,nome_quartiere,nome_zona,nome_area_statistica,codice_area_statistica
1.0,13,Porto - Saragozza,Malpighi,MALPIGHI-1,78
3.0,13,Porto - Saragozza,Malpighi,MALPIGHI-1,78
2.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
4.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
5.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
6.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
7.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
8.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
9.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
10.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
11.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
12.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
13.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
14.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
15.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
16.0,13,Porto - Saragozza,Malpighi,MALPIGHI-2,77
17.0,13,Porto - Saragozza,Costa Saragozza,SAN GIUSEPPE,73
18.0,13,Porto - Saragozza,Costa Saragozza,SAN GIUSEPPE,73
19.0,13,Porto - Saragozza,Costa Saragozza,SAN GIUSEPPE,73
20.0,13,Porto - Saragozza,Costa Saragozza,SAN GIUSEPPE,73
21.0,13,Porto - Saragozza,Costa Saragozza,SAN GIUSEPPE,73
22.0,13,Porto - Saragozza,Costa Saragozza,SAN GIUSEPPE,73
23.0,13,Porto - Saragozza,Costa Saragozza,SAN GIUSEPPE,73
24.0,13,Porto - Saragozza,Costa Saragozza,SAN GIUSEPPE,73
25.0,13,Porto - Saragozza,Costa Saragozza,XXI APRILE,72
26.0,13,Porto - Saragozza,Costa Saragozza,XXI APRILE,72
27.0,13,Porto - Saragozza,Costa Saragozza,XXI APRILE,72
30.0,13,Porto - Saragozza,Costa Saragozza,XXI APRILE,72
31.0,13,Porto - Saragozza,Costa Saragozza,XXI APRILE,72
32.0,13,Porto - Saragozza,Costa Saragozza,XXI APRILE,72
