SEZIONE,ID_NIL,NIL,Municipio
1.0,1,DUOMO,1
5.0,1,DUOMO,1
9.0,1,DUOMO,1
13.0,1,DUOMO,1
16.0,1,DUOMO,1
22.0,1,DUOMO,1
26.0,1,DUOMO,1
27.0,1,DUOMO,1
28.0,1,DUOMO,1
36.0,1,DUOMO,1
39.0,1,DUOMO,1
41.0,1,DUOMO,1
43.0,1,DUOMO,1
46.0,1,DUOMO,1
47.0,1,DUOMO,1
48.0,1,DUOMO,1
73.0,1,DUOMO,1
78.0,1,DUOMO,1
79.0,1,DUOMO,1
1352.0,1,DUOMO,1
1421.0,1,DUOMO,1
2.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
3.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
11.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
66.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1155.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1161.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1163.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1164.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1294.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1339.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1717.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1718.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1719.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1720.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1721.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1824.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1826.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
1900.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
2024.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
2060.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
2062.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
2063.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
2064.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
2222.0,76,QUARTO OGGIARO - VIALBA - MUSOCCO,8
4.0,54,MUGGIANO,7
37.0,54,MUGGIANO,7
6.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
335.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
646.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
657.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
1257.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
1258.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
1260.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
1261.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
1263.0,14,NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI,9
