SEZIONE,MUNICIPIO,ZONA_URB,ZONA_URB_CODICE
1,3,Casal Boccone,4f
2,1,Esquilino,1e
3,1,Esquilino,1e
4,1,Esquilino,1e
5,1,Esquilino,1e
6,1,Esquilino,1e
7,1,Esquilino,1e
8,1,Esquilino,1e
9,1,Esquilino,1e
10,1,Esquilino,1e
11,1,Esquilino,1e
12,1,Esquilino,1e
13,1,Esquilino,1e
14,1,Esquilino,1e
15,1,Esquilino,1e
16,1,Esquilino,1e
17,1,Esquilino,1e
18,1,XX Settembre,1f
19,1,XX Settembre,1f
20,1,XX Settembre,1f
21,1,XX Settembre,1f
22,1,XX Settembre,1f
23,1,XX Settembre,1f
24,1,XX Settembre,1f
25,3,Serpentara,4e
26,1,Esquilino,1e
27,1,Esquilino,1e
28,2,Università ,3x
29,2,Nomentano,3a
30,2,Nomentano,3a
31,2,Nomentano,3a
32,2,Nomentano,3a
33,2,Nomentano,3a
34,2,Nomentano,3a
35,2,Nomentano,3a
36,2,Nomentano,3a
37,3,Casal Boccone,4f
38,2,Nomentano,3a
39,2,Nomentano,3a
40,2,Nomentano,3a
41,2,Nomentano,3a
42,2,Università ,3x
43,2,Nomentano,3a
44,2,Nomentano,3a
45,2,Nomentano,3a
46,2,Nomentano,3a
47,2,Nomentano,3a
48,2,Nomentano,3a
49,2,Nomentano,3a
50,2,Nomentano,3a
51,2,Nomentano,3a
52,2,Nomentano,3a
53,2,Nomentano,3a
54,2,Nomentano,3a
55,2,Nomentano,3a
56,2,Nomentano,3a
57,2,Nomentano,3a
58,2,Nomentano,3a
59,2,Nomentano,3a
60,2,Nomentano,3a
61,2,Nomentano,3a
62,2,Nomentano,3a
63,2,Nomentano,3a
64,2,Nomentano,3a
65,2,Nomentano,3a
66,2,Nomentano,3a
67,3,Sacco Pastore,4h
68,3,Sacco Pastore,4h
69,3,Conca d'Oro,4g
70,3,Sacco Pastore,4h
71,3,Sacco Pastore,4h
72,3,Sacco Pastore,4h
73,3,Monte Sacro,4a
74,3,Monte Sacro,4a
75,3,Monte Sacro,4a
76,3,Monte Sacro,4a
77,3,Monte Sacro,4a
78,3,Sacco Pastore,4h
79,3,Sacco Pastore,4h
80,3,Sacco Pastore,4h
81,3,Monte Sacro,4a
82,3,Monte Sacro,4a
83,3,Monte Sacro,4a
84,3,Sacco Pastore,4h
85,3,Conca d'Oro,4g
86,3,Monte Sacro,4a
87,3,Monte Sacro,4a
88,3,Monte Sacro,4a
89,3,Tufello,4i
90,3,Tufello,4i
91,3,Monte Sacro,4a
92,3,Monte Sacro,4a
93,3,Conca d'Oro,4g
94,3,Conca d'Oro,4g
95,3,Conca d'Oro,4g
96,3,Conca d'Oro,4g
97,3,Conca d'Oro,4g
98,3,Conca d'Oro,4g
99,3,Conca d'Oro,4g
100,3,Conca d'Oro,4g
101,3,Conca d'Oro,4g
102,3,Conca d'Oro,4g
103,3,Conca d'Oro,4g
104,3,Conca d'Oro,4g
105,3,Conca d'Oro,4g
106,3,Conca d'Oro,4g
107,3,Conca d'Oro,4g
108,3,Conca d'Oro,4g
109,3,Tufello,4i
110,3,Tufello,4i
111,3,Tufello,4i
112,3,Tufello,4i
113,3,Tufello,4i
114,3,Serpentara,4e
115,3,Tufello,4i
116,3,Tufello,4i
117,3,Tufello,4i
118,3,Tufello,4i
119,3,Tufello,4i
120,2,Salario,2d
121,2,Salario,2d
122,2,Salario,2d
123,2,Salario,2d
124,2,Salario,2d
125,2,Trieste,2e
126,2,Trieste,2e
127,2,Trieste,2e
128,2,Trieste,2e
129,2,Trieste,2e
130,2,Salario,2d
131,2,Salario,2d
132,2,Trieste,2e
133,2,Trieste,2e
134,2,Salario,2d
135,2,Trieste,2e
136,2,Trieste,2e
137,2,Trieste,2e
138,2,Trieste,2e
139,2,Trieste,2e
140,2,Trieste,2e
141,2,Trieste,2e
142,2,Trieste,2e
143,2,Trieste,2e
144,2,Trieste,2e
145,2,Trieste,2e
146,2,Trieste,2e
147,2,Trieste,2e
148,2,Trieste,2e
149,2,Trieste,2e
150,2,Trieste,2e
151,2,Trieste,2e
152,2,Trieste,2e
153,2,Trieste,2e
154,2,Trieste,2e
155,2,Trieste,2e
156,2,Trieste,2e
157,2,Trieste,2e
158,2,Trieste,2e
159,2,Trieste,2e
160,2,Trieste,2e
161,2,Trieste,2e
162,2,Trieste,2e
163,2,Trieste,2e
164,2,Sacco Pastore,4h
165,2,Trieste,2e
166,2,Trieste,2e
167,2,Trieste,2e
168,2,Trieste,2e
169,2,Trieste,2e
170,2,Trieste,2e
171,2,Trieste,2e
172,2,Nomentano,3a
173,4,Pietralata,5g
174,4,Tiburtino Nord,5c
175,4,Tiburtino Nord,5c
176,4,Pietralata,5g
177,4,Pietralata,5g
178,4,Pietralata,5g
179,4,Pietralata,5g
180,4,Pietralata,5g
181,4,Pietralata,5g
182,4,Pietralata,5g
183,4,Tiburtino Nord,5c
184,4,Pietralata,5g
185,4,Tiburtino Nord,5c
186,4,Tiburtino Nord,5c
187,4,Pietralata,5g
188,4,Pietralata,5g
189,4,Pietralata,5g
190,4,Pietralata,5g
191,4,Tiburtino Nord,5c
192,4,Tiburtino Nord,5c
193,4,Tiburtino Nord,5c
194,4,Tiburtino Nord,5c
195,4,Tiburtino Nord,5c
196,4,Tiburtino Nord,5c
197,4,Tiburtino Nord,5c
198,4,Tiburtino Nord,5c
199,4,Tiburtino Nord,5c
200,4,Tiburtino Nord,5c
201,4,Tiburtino Nord,5c
202,4,Tiburtino Nord,5c
203,4,Tiburtino Nord,5c
204,4,Tiburtino Nord,5c
205,4,Tiburtino Nord,5c
206,4,Tiburtino Nord,5c
207,3,Monte Sacro Alto,4c
208,3,Monte Sacro Alto,4c
209,3,Monte Sacro Alto,4c
210,3,Monte Sacro Alto,4c
211,3,Monte Sacro Alto,4c
212,3,Monte Sacro Alto,4c
213,3,Monte Sacro Alto,4c
214,3,Monte Sacro Alto,4c
215,3,Monte Sacro Alto,4c
216,3,Monte Sacro Alto,4c
217,3,Monte Sacro Alto,4c
218,3,Monte Sacro Alto,4c
219,3,Monte Sacro Alto,4c
220,3,Monte Sacro Alto,4c
221,3,Monte Sacro Alto,4c
222,3,Monte Sacro Alto,4c
223,3,Monte Sacro Alto,4c
224,3,Monte Sacro Alto,4c
225,3,Monte Sacro Alto,4c
226,3,Monte Sacro Alto,4c
227,3,Monte Sacro Alto,4c
228,3,Monte Sacro Alto,4c
229,3,Monte Sacro Alto,4c
230,3,Monte Sacro Alto,4c
231,3,Monte Sacro Alto,4c
232,3,Monte Sacro Alto,4c
233,3,Monte Sacro Alto,4c
234,3,Monte Sacro Alto,4c
235,3,Monte Sacro Alto,4c
236,4,Casal de' Pazzi,5h
237,4,Monte Sacro,4a
238,4,Casal de' Pazzi,5h
239,4,Casal de' Pazzi,5h
240,4,Casal de' Pazzi,5h
241,4,Casal de' Pazzi,5h
242,4,Casal de' Pazzi,5h
243,4,Casal de' Pazzi,5h
244,4,Casal de' Pazzi,5h
245,4,Casal de' Pazzi,5h
246,4,Casal de' Pazzi,5h
247,4,Casal de' Pazzi,5h
248,4,Casal de' Pazzi,5h
249,4,Casal de' Pazzi,5h
250,4,Casal de' Pazzi,5h
251,4,Casal de' Pazzi,5h
252,4,Casal de' Pazzi,5h
253,4,Casal de' Pazzi,5h
254,4,Casal de' Pazzi,5h
255,4,Casal de' Pazzi,5h
256,4,Casal de' Pazzi,5h
257,4,Casal de' Pazzi,5h
258,4,Casal de' Pazzi,5h
259,4,Casal de' Pazzi,5h
260,4,Casal de' Pazzi,5h
261,4,S. Basilio,5e
262,4,S. Basilio,5e
263,4,S. Basilio,5e
264,3,Serpentara,4e
265,4,S. Basilio,5e
266,4,S. Basilio,5e
267,4,S. Basilio,5e
268,4,S. Basilio,5e
269,4,S. Basilio,5e
270,4,S. Basilio,5e
271,4,S. Basilio,5e
272,4,S. Basilio,5e
273,4,S. Basilio,5e
274,4,S. Basilio,5e
275,4,S. Basilio,5e
276,4,S. Basilio,5e
277,4,S. Basilio,5e
278,4,S. Basilio,5e
279,4,S. Basilio,5e
280,4,S. Basilio,5e
281,4,S. Basilio,5e
282,4,S. Basilio,5e
283,4,S. Basilio,5e
284,4,S. Basilio,5e
285,3,Val Melaina,4b
286,3,Val Melaina,4b
287,3,Val Melaina,4b
288,3,Val Melaina,4b
289,3,Val Melaina,4b
290,3,Val Melaina,4b
291,3,Val Melaina,4b
292,3,Val Melaina,4b
293,3,Aeropoprto dell' Urbe,4l
294,3,Val Melaina,4b
295,3,Val Melaina,4b
296,3,Val Melaina,4b
297,3,Val Melaina,4b
298,3,Serpentara,4e
299,3,Val Melaina,4b
300,3,Val Melaina,4b
301,3,Val Melaina,4b
302,3,Val Melaina,4b
303,3,Val Melaina,4b
304,3,Val Melaina,4b
305,3,Val Melaina,4b
306,3,Val Melaina,4b
307,3,Val Melaina,4b
308,3,Val Melaina,4b
309,3,Val Melaina,4b
310,3,Val Melaina,4b
311,10,Infernetto,13i
312,3,Val Melaina,4b
313,3,Val Melaina,4b
314,10,Infernetto,13i
315,3,Val Melaina,4b
316,3,Val Melaina,4b
317,3,Val Melaina,4b
318,3,Val Melaina,4b
319,3,Val Melaina,4b
320,3,Val Melaina,4b
321,3,Val Melaina,4b
322,3,Aeropoprto dell' Urbe,4l
323,3,Aeropoprto dell' Urbe,4l
324,3,Aeropoprto dell' Urbe,4l
325,3,Bufalotta,4n
326,3,Serpentara,4e
327,3,Fidene,4d
328,3,Serpentara,4e
329,3,Serpentara,4e
330,3,Serpentara,4e
331,3,Serpentara,4e
332,3,Fidene,4d
333,3,Fidene,4d
334,3,Fidene,4d
335,3,Fidene,4d
336,3,Fidene,4d
337,3,Fidene,4d
338,3,Fidene,4d
339,3,Serpentara,4e
340,3,Serpentara,4e
341,3,Serpentara,4e
342,3,Serpentara,4e
343,3,Serpentara,4e
344,3,Serpentara,4e
345,3,Serpentara,4e
346,3,Serpentara,4e
347,3,Serpentara,4e
348,3,Serpentara,4e
349,3,Serpentara,4e
350,3,Serpentara,4e
351,3,Serpentara,4e
352,3,Serpentara,4e
353,3,Serpentara,4e
354,3,Serpentara,4e
355,3,Serpentara,4e
356,3,Tor S. Giovanni,4o
357,3,Settebagni,4m
358,3,Settebagni,4m
359,3,Settebagni,4m
360,3,Tor S. Giovanni,4o
361,3,Casal Boccone,4f
362,3,Casal Boccone,4f
363,3,Casal Boccone,4f
364,3,Monte Sacro Alto,4c
365,3,Casal Boccone,4f
366,3,Val Melaina,4b
367,3,Casal Boccone,4f
368,3,Casal Boccone,4f
369,3,Serpentara,4e
370,3,Casal Boccone,4f
371,3,Serpentara,4e
372,3,Bufalotta,4n
373,3,Bufalotta,4n
374,3,Bufalotta,4n
375,3,Tor S. Giovanni,4o
376,4,S. Alessandro,5i
377,4,S. Alessandro,5i
378,4,S. Alessandro,5i
379,4,S. Alessandro,5i
380,4,S. Alessandro,5i
381,4,Settecamini,5l
382,4,Settecamini,5l
383,4,Settecamini,5l
384,4,Settecamini,5l
385,4,S. Alessandro,5i
386,4,Settecamini,5l
387,4,Settecamini,5l
388,4,Settecamini,5l
389,4,Settecamini,5l
390,4,Settecamini,5l
391,2,Università ,3x
392,2,S. Lorenzo,3b
393,2,S. Lorenzo,3b
394,2,S. Lorenzo,3b
395,2,S. Lorenzo,3b
396,2,S. Lorenzo,3b
397,2,S. Lorenzo,3b
398,2,Verano,3y
399,2,S. Lorenzo,3b
400,2,S. Lorenzo,3b
401,2,Verano,3y
402,4,Casal Bertone,5a
403,4,Casal Bertone,5a
404,4,Casal Bertone,5a
405,4,Casal Bertone,5a
406,4,Casal Bertone,5a
407,4,Casal Bertone,5a
408,4,Casal Bertone,5a
409,4,Casal Bertone,5a
410,4,Casal Bertone,5a
411,4,Casal Bertone,5a
412,5,Torpignattara,6a
413,5,Torpignattara,6a
414,5,Torpignattara,6a
415,5,Torpignattara,6a
416,5,Torpignattara,6a
417,5,Torpignattara,6a
418,5,Torpignattara,6a
419,5,Torpignattara,6a
420,5,Torpignattara,6a
421,5,Torpignattara,6a
422,5,Torpignattara,6a
423,5,Torpignattara,6a
424,5,Torpignattara,6a
425,5,Torpignattara,6a
426,5,Torpignattara,6a
427,5,Torpignattara,6a
428,5,Torpignattara,6a
429,5,Torpignattara,6a
430,5,Torpignattara,6a
431,5,Torpignattara,6a
432,5,Torpignattara,6a
433,5,Torpignattara,6a
434,5,Torpignattara,6a
435,5,Torpignattara,6a
436,5,Torpignattara,6a
437,5,Torpignattara,6a
438,5,Torpignattara,6a
439,5,Torpignattara,6a
440,5,Torpignattara,6a
441,5,Torpignattara,6a
442,5,Torpignattara,6a
443,5,Torpignattara,6a
444,5,Torpignattara,6a
445,5,Torpignattara,6a
446,5,Torpignattara,6a
447,5,Casilino,6b
448,5,Torpignattara,6a
449,4,Settecamini,5l
450,5,Casilino,6b
451,5,Torpignattara,6a
452,5,Torpignattara,6a
453,5,Torpignattara,6a
454,5,Torpignattara,6a
455,5,Gordiani,6d
456,5,Gordiani,6d
457,5,Gordiani,6d
458,5,Gordiani,6d
459,5,Gordiani,6d
460,5,Casilino,6b
461,5,Casilino,6b
462,5,Gordiani,6d
463,5,Gordiani,6d
464,5,Gordiani,6d
465,5,Casilino,6b
466,5,Gordiani,6d
467,5,Gordiani,6d
468,5,Gordiani,6d
469,5,Gordiani,6d
470,5,Casilino,6b
471,5,Casilino,6b
472,5,Casilino,6b
473,5,Casilino,6b
474,5,Casilino,6b
475,5,Casilino,6b
476,5,Casilino,6b
477,6,Lunghezza,8e
478,5,Casilino,6b
479,5,Casilino,6b
480,5,Centocelle,7a
481,5,Centocelle,7a
482,5,Centocelle,7a
483,5,Centocelle,7a
484,5,Centocelle,7a
485,5,Centocelle,7a
486,5,Centocelle,7a
487,5,Centocelle,7a
488,5,Centocelle,7a
489,5,Centocelle,7a
490,5,Centocelle,7a
491,6,Lunghezza,8e
492,5,Centocelle,7a
493,5,Centocelle,7a
494,5,Centocelle,7a
495,5,Centocelle,7a
496,5,Centocelle,7a
497,5,Centocelle,7a
498,6,Lunghezza,8e
499,5,Centocelle,7a
500,5,Centocelle,7a
501,5,Centocelle,7a
502,5,Centocelle,7a
503,5,Centocelle,7a
504,5,Centocelle,7a
505,5,Centocelle,7a
506,5,Centocelle,7a
507,5,Centro Direzionale Centocelle,7g
508,5,Centocelle,7a
509,5,Centocelle,7a
510,6,Borghesiana,8g
511,5,Centocelle,7a
512,6,Acqua Vergine,8d
513,11,Ponte Galeria,15g
514,5,Centocelle,7a
515,6,Acqua Vergine,8d
516,5,Centocelle,7a
517,5,Centocelle,7a
518,5,Centocelle,7a
519,6,S. Vittorino,8h
520,5,Centocelle,7a
521,6,S. Vittorino,8h
522,5,Centocelle,7a
523,6,Acqua Vergine,8d
524,5,Centocelle,7a
525,5,Centocelle,7a
526,5,Centocelle,7a
527,5,Centocelle,7a
528,5,Centocelle,7a
529,5,Centocelle,7a
530,5,Centocelle,7a
531,5,Centocelle,7a
532,5,Centocelle,7a
533,5,Centocelle,7a
534,6,Borghesiana,8g
535,5,Centocelle,7a
536,5,Centocelle,7a
537,4,Casal Bertone,5a
538,4,Casal Bertone,5a
539,4,Casal Bertone,5a
540,4,Casal Bertone,5a
541,4,Casal Bertone,5a
542,4,Casal Bruciato,5b
543,4,Casal Bruciato,5b
544,4,Casal Bruciato,5b
545,4,Casal Bruciato,5b
546,4,Casal Bruciato,5b
547,4,Casal Bruciato,5b
548,4,Casal Bruciato,5b
549,4,Casal Bruciato,5b
550,4,Casal Bruciato,5b
551,4,Casal Bruciato,5b
552,4,Casal Bruciato,5b
553,4,Casal Bruciato,5b
554,4,Casal Bruciato,5b
555,4,Casal Bruciato,5b
556,4,Casal Bruciato,5b
557,4,Casal Bruciato,5b
558,4,Casal Bruciato,5b
559,4,Casal Bruciato,5b
560,4,Casal Bruciato,5b
561,4,Casal Bruciato,5b
562,4,Casal Bruciato,5b
563,4,Casal Bruciato,5b
564,4,Tiburtino Sud,5d
565,4,Tiburtino Sud,5d
566,4,Tiburtino Sud,5d
567,4,Tiburtino Sud,5d
568,4,Tiburtino Sud,5d
569,4,Tiburtino Sud,5d
570,4,Casal Bruciato,5b
571,4,Tiburtino Sud,5d
572,4,Tiburtino Sud,5d
573,4,Tiburtino Sud,5d
574,4,Tiburtino Sud,5d
575,4,Tiburtino Sud,5d
576,4,Tiburtino Sud,5d
577,15,Prima Porta,20l
578,5,Gordiani,6d
579,5,Gordiani,6d
580,5,Gordiani,6d
581,5,Gordiani,6d
582,5,Gordiani,6d
583,5,Gordiani,6d
584,5,Gordiani,6d
585,5,Gordiani,6d
586,5,Gordiani,6d
587,5,Gordiani,6d
588,5,Gordiani,6d
589,5,Gordiani,6d
590,5,Gordiani,6d
591,5,Gordiani,6d
592,5,Gordiani,6d
593,5,Gordiani,6d
594,5,Gordiani,6d
595,9,Mezzocammino,12f
596,5,Gordiani,6d
597,5,Gordiani,6d
598,5,Gordiani,6d
599,5,Gordiani,6d
600,5,Gordiani,6d
601,5,Gordiani,6d
602,5,Gordiani,6d
603,5,Gordiani,6d
604,5,Alessandrina,7b
605,5,Alessandrina,7b
606,5,Alessandrina,7b
607,5,Alessandrina,7b
608,5,Alessandrina,7b
609,5,Alessandrina,7b
610,5,Alessandrina,7b
611,5,Alessandrina,7b
612,5,Alessandrina,7b
613,5,Alessandrina,7b
614,5,Alessandrina,7b
615,5,Alessandrina,7b
616,6,Lunghezza,8e
617,5,Alessandrina,7b
618,5,Torrespaccata,8a
619,5,Alessandrina,7b
620,5,Alessandrina,7b
621,5,Alessandrina,7b
622,5,Alessandrina,7b
623,5,Alessandrina,7b
624,5,Alessandrina,7b
625,5,Alessandrina,7b
626,5,Alessandrina,7b
627,6,Lunghezza,8e
628,5,Alessandrina,7b
629,5,Alessandrina,7b
630,5,Alessandrina,7b
631,5,Tor Tre Teste,7e
632,5,Tor Tre Teste,7e
633,5,Tor Tre Teste,7e
634,5,Tor Tre Teste,7e
635,5,Casetta Mistica,7f
636,5,Tor Tre Teste,7e
637,5,Tor Tre Teste,7e
638,5,Tor Tre Teste,7e
639,5,Tor Tre Teste,7e
640,5,Tor Tre Teste,7e
641,5,Tor Tre Teste,7e
642,5,Tor Tre Teste,7e
643,5,Tor Tre Teste,7e
644,4,Tiburtino Sud,5d
645,4,Tiburtino Sud,5d
646,4,Tiburtino Sud,5d
647,4,Tiburtino Sud,5d
648,4,Tiburtino Sud,5d
649,4,Tiburtino Sud,5d
650,4,Tiburtino Sud,5d
651,4,Tiburtino Sud,5d
652,4,Tiburtino Sud,5d
653,4,Tiburtino Sud,5d
654,4,Tiburtino Sud,5d
655,4,Tor Cervara,5f
656,4,Tor Cervara,5f
657,5,Alessandrina,7b
658,5,Tor Sapienza,7c
659,5,Tor Sapienza,7c
660,5,Tor Sapienza,7c
661,5,Tor Sapienza,7c
662,5,Tor Sapienza,7c
663,5,Tor Sapienza,7c
664,5,Tor Sapienza,7c
665,5,Tor Sapienza,7c
666,5,Tor Sapienza,7c
667,5,Tor Sapienza,7c
668,5,Omo,7h
669,5,Omo,7h
670,5,La Rustica,7d
671,5,La Rustica,7d
672,5,La Rustica,7d
673,5,La Rustica,7d
674,5,La Rustica,7d
675,5,La Rustica,7d
676,5,Tor Cervara,5f
677,6,Acqua Vergine,8d
678,6,Acqua Vergine,8d
679,6,Lunghezza,8e
680,6,Lunghezza,8e
681,6,Lunghezza,8e
682,6,Lunghezza,8e
683,6,Lunghezza,8e
684,6,Lunghezza,8e
685,6,Lunghezza,8e
686,6,Lunghezza,8e
687,6,Lunghezza,8e
688,6,Lunghezza,8e
689,6,Lunghezza,8e
690,6,S. Vittorino,8h
691,6,S. Vittorino,8h
692,6,S. Vittorino,8h
693,6,S. Vittorino,8h
694,6,S. Vittorino,8h
695,6,S. Vittorino,8h
696,5,Casetta Mistica,7f
697,6,Torre Maura,8b
698,6,Torre Maura,8b
699,6,Torre Maura,8b
700,6,Torre Maura,8b
701,6,Torre Maura,8b
702,6,Torre Maura,8b
703,6,Torre Maura,8b
704,6,Torre Maura,8b
705,6,Torre Maura,8b
706,6,Torre Maura,8b
707,6,Torre Maura,8b
708,6,Torre Maura,8b
709,6,Torre Angela,8f
710,6,Torre Angela,8f
711,6,Torre Angela,8f
712,6,Torre Angela,8f
713,6,Torre Angela,8f
714,6,Torre Angela,8f
715,6,Torre Angela,8f
716,6,Torre Angela,8f
717,6,Torre Angela,8f
