SEZIONE,ZONASTAT
1.0,01
2.0,01
3.0,01
4.0,01
5.0,01
6.0,01
7.0,01
8.0,02
9.0,03
10.0,03
11.0,03
12.0,03
13.0,04
14.0,04
15.0,04
16.0,04
17.0,05
18.0,05
19.0,05
20.0,05
21.0,05
22.0,05
23.0,05
24.0,05
25.0,06
26.0,06
27.0,06
28.0,06
29.0,06
30.0,07
31.0,07
32.0,07
33.0,07
34.0,07
35.0,08
36.0,08
37.0,08
38.0,08
39.0,08
40.0,08
196.0,08
41.0,10
42.0,10
43.0,10
44.0,10
45.0,10
46.0,10
47.0,10
48.0,18
49.0,18
50.0,18
51.0,18
52.0,18
53.0,18
54.0,26
55.0,26
56.0,26
57.0,26
58.0,26
59.0,26
60.0,26
61.0,26
62.0,26
63.0,26
64.0,26
65.0,26
66.0,26
67.0,26
68.0,27
69.0,27
70.0,27
71.0,27
72.0,27
73.0,27
74.0,27
909.0,27
75.0,28
76.0,28
77.0,28
78.0,28
749.0,28
79.0,54
80.0,54
81.0,54
110.0,54
82.0,56
787.0,56
788.0,56
789.0,56
790.0,56
791.0,56
792.0,56
793.0,56
794.0,56
795.0,56
796.0,56
797.0,56
798.0,56
799.0,56
800.0,56
801.0,56
802.0,56
803.0,56
804.0,56
805.0,56
806.0,56
807.0,56
808.0,56
809.0,56
83.0,35
84.0,35
85.0,35
86.0,35
87.0,35
257.0,35
258.0,35
259.0,35
260.0,35
261.0,35
262.0,35
263.0,35
264.0,35
265.0,35
266.0,35
267.0,35
268.0,35
88.0,53
89.0,53
90.0,53
91.0,53
92.0,53
93.0,53
94.0,53
95.0,53
96.0,53
97.0,53
98.0,53
99.0,53
100.0,53
101.0,53
102.0,53
103.0,53
104.0,53
105.0,53
106.0,53
107.0,53
108.0,53
109.0,53
111.0,55
112.0,55
113.0,55
114.0,55
115.0,55
116.0,55
117.0,55
118.0,55
119.0,55
120.0,55
121.0,55
122.0,55
123.0,55
124.0,55
125.0,55
126.0,55
127.0,55
128.0,55
129.0,55
130.0,55
131.0,55
161.0,55
132.0,59
133.0,59
134.0,59
135.0,59
136.0,59
137.0,59
138.0,59
139.0,59
140.0,59
141.0,59
142.0,59
143.0,59
144.0,59
145.0,59
146.0,59
147.0,59
148.0,59
149.0,59
150.0,59
151.0,59
152.0,59
153.0,59
154.0,59
155.0,59
156.0,59
157.0,59
189.0,59
158.0,60
159.0,60
160.0,60
162.0,60
163.0,60
164.0,60
165.0,60
166.0,60
167.0,60
168.0,60
169.0,60
876.0,60
170.0,62
171.0,62
172.0,62
173.0,62
174.0,62
175.0,62
176.0,62
177.0,62
178.0,62
179.0,62
180.0,62
181.0,62
182.0,62
183.0,62
184.0,62
185.0,62
186.0,62
187.0,62
188.0,62
190.0,62
191.0,62
192.0,17
193.0,17
194.0,17
195.0,17
197.0,17
198.0,17
199.0,17
